T,R,G,B
6210,0.829078665635,0.949473487343,1.0
6220,0.827091082576,0.948233254263,1.0
6230,0.825114459107,0.946998882209,1.0
6240,0.823148711851,0.945770332097,1.0
6250,0.821193758234,0.944547565178,1.0
6260,0.819249516472,0.943330543036,1.0
6270,0.817315905568,0.942119227585,1.0
6280,0.815392845298,0.940913581063,1.0
6290,0.813480256205,0.939713566032,1.0
6300,0.811578059589,0.938519145373,1.0
6310,0.809686177497,0.937330282281,1.0
6320,0.807804532718,0.936146940266,1.0
6330,0.805933048772,0.934969083145,1.0
6340,0.804071649899,0.933796675041,1.0
6350,0.802220261058,0.932629680382,1.0
6360,0.800378807913,0.931468063893,1.0
6370,0.798547216826,0.930311790597,1.0
6380,0.796725414849,0.92916082581,1.0
6390,0.79491332972,0.928015135138,1.0
6400,0.793110889849,0.926874684476,1.0
6410,0.791318024316,0.925739440002,1.0
6420,0.789534662859,0.924609368177,1.0
6430,0.787760735869,0.923484435738,1.0
6440,0.785996174385,0.922364609702,1.0
6450,0.784240910081,0.921249857357,1.0
6460,0.782494875262,0.92014014626,1.0
6470,0.780758002861,0.919035444238,1.0
6480,0.779030226423,0.917935719381,1.0
6490,0.777311480106,0.916840940043,1.0
6500,0.775601698672,0.915751074837,1.0
6510,0.773900817477,0.914666092631,1.0
6520,0.77220877247,0.913585962551,1.0
6530,0.770525500183,0.912510653972,1.0
6540,0.768850937725,0.911440136519,1.0
6550,0.767185022774,0.910374380066,1.0
6560,0.765527693577,0.909313354727,1.0
6570,0.763878888937,0.908257030862,1.0
6580,0.762238548208,0.907205379068,1.0
6590,0.760606611293,0.906158370182,1.0
6600,0.758983018635,0.905115975273,1.0
6610,0.75736771121,0.904078165643,1.0
6620,0.755760630525,0.903044912827,1.0
6630,0.754161718609,0.902016188583,1.0
6640,0.752570918009,0.9009919649,1.0
6650,0.750988171782,0.899972213987,1.0
6660,0.749413423495,0.898956908275,1.0
6670,0.747846617212,0.897946020416,1.0
6680,0.746287697495,0.896939523277,1.0
6690,0.744736609397,0.89593738994,1.0
6700,0.743193298453,0.894939593701,1.0
6710,0.741657710682,0.893946108066,1.0
